,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CustomerFeedback,MonthlyIncome,sentiment_label,feedback_topic,sentiment_score
13,9793-WECQC,Male,0,No,No,23.0,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.3,2192.9,0,"I have been a customer with this company for almost two years now and I have been very satisfied with the service. The fiber optic internet has been reliable and fast, and I have not experienced any issues with connectivity. The monthly charges are reasonable for the quality of service I receive. Although I pay by mailing a check each month, the process has been smooth and I have not had any problems with billing. Overall, I am happy with my experience and have no plans to switch providers.",6643,positive,general_satisfaction,1
14,7029-IJEJK,Female,0,No,No,54.0,No,No,DSL,Yes,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),44.1,2369.7,0,"I have been a loyal customer of this DSL internet service provider for over four and a half years now. The monthly charges are reasonable at $44.1 and I appreciate the convenience of automatic bank transfers for payment. I have had no issues with the service and have not experienced any disruptions in my internet connection. Overall, I am satisfied with the service and plan to continue using it in the future.",5176,positive,general_satisfaction,1
15,5419-JKZNQ,Male,1,Yes,No,30.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,77.9,2351.45,0,"I have been a customer with this internet service provider for 30 months now and have been very satisfied with the fiber optic internet service. The speeds are consistently fast and reliable. The monthly charges of $77.90 are reasonable for the quality of service provided. I appreciate being able to pay by mailing a check each month, as it is convenient for me. Overall, I have had a positive experience with this provider and have no plans to churn.",3934,positive,general_satisfaction,1
16,3351-NQLDI,Female,0,Yes,Yes,67.0,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),94.35,6341.45,1,"I have been a customer with this company for 67 months, and I am disappointed to say that I have decided to churn. While the fiber optic internet service was reliable and fast, I found that the monthly charges of $94.35 were too high for the value I was receiving. I had signed a one-year contract and had been paying automatically with my credit card, but I ultimately decided to switch to a more affordable provider. I would have appreciated more competitive pricing or incentives to stay with this company.",2645,mixed,high_price,0
17,1335-HQMKX,Female,0,Yes,No,72.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,101.35,7323.15,0,"I have been a loyal customer of this internet service provider for the past 6 years and have been very satisfied with their service. The fiber optic internet is fast and reliable, and I have never experienced any downtime. The monthly charges are reasonable at $101.35, and I appreciate the convenience of paying with electronic check. Overall, I have had a positive experience with this provider and would highly recommend them to others.",419,positive,general_satisfaction,1
18,4702-IOQDC,Female,0,No,No,1.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.1,70.1,1,"I recently signed up for the fiber optic internet service with this company on a month-to-month contract. I was initially impressed with the speed and reliability of the internet connection. However, after only one month of service, I have decided to cancel due to the high monthly charges of $70.1. I found a more affordable option with a different provider. Overall, I was satisfied with the service quality but the pricing ultimately led to my decision to churn.",2000,mixed,high_price,0
19,2043-WVTQJ,Male,0,Yes,No,1.0,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,55.7,55.7,0,"I have been a customer for just over a month now and have not experienced any issues with my DSL internet service. The monthly charges of $55.7 are reasonable and I appreciate the flexibility of the month-to-month contract. I prefer to pay my bills by mailing a check and have had no problems with the payment process. Overall, I am satisfied with the service and would recommend it to others.",2467,positive,general_satisfaction,1
20,5320-BRKGK,Female,0,Yes,Yes,58.0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Mailed check,75.8,4415.75,0,"I have been a customer with this company for over 4 and a half years now and have been satisfied with the service provided. The DSL internet service has been reliable and the monthly charges of $75.8 are reasonable for the speed and reliability I receive. I have had no issues with billing or customer service and have always paid my bills on time with mailed checks. Overall, I am happy with my experience and have no plans to switch providers.",6609,positive,general_satisfaction,1
21,5945-AZYHT,Male,0,Yes,No,71.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,109.6,7854.15,0,I have been a loyal customer of this company for over six years now and have been extremely satisfied with the fiber optic internet service they provide. The monthly charges are reasonable at $109.6 and I appreciate the convenience of being able to pay through electronic check. I have never experienced any issues with the service and have no plans to churn anytime soon. I highly recommend this company to anyone looking for reliable internet service.,6591,positive,general_satisfaction,1
22,6653-CBBOM,Female,0,No,No,1.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.3,70.3,1,"I recently signed up for fiber optic internet with this provider on a month-to-month contract. Unfortunately, after just one month, I decided to cancel due to personal reasons. The monthly charges were reasonable at $70.3 and I appreciated the option to pay via electronic check. Overall, I had a positive experience with the internet service during my short tenure. I would consider rejoining in the future if needed.",4055,positive,personal_reasons,1
23,7995-ZHHNZ,Male,0,Yes,No,42.0,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Credit card (automatic),56.1,2386.85,0,"I have been a customer with this internet service provider for 42 months now and I have been overall satisfied with the service. The monthly charges of $56.1 are reasonable for the internet speed and reliability I receive with DSL. The automatic credit card payment method is convenient and ensures that I never miss a payment. I have had no issues with churning and I am happy with the one-year contract type. Overall, I would recommend this provider to others looking for a reliable internet service at a fair price.",1556,positive,general_satisfaction,1
24,8267-ZNYVZ,Female,0,Yes,No,33.0,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,103.75,3361.05,1,"I was initially satisfied with my fiber optic internet service from this provider, but after 33 months of being a customer, I decided to churn. The monthly charges of $103.75 were reasonable for the speed and reliability of the service. However, I found that there were better deals available from other providers and decided to switch. Overall, the service was good but I felt that I could get a better value elsewhere.",6879,mixed,competitor_offer,0
25,0093-EXYQL,Female,1,No,No,40.0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.55,3673.6,0,"I have been a customer with this company for over 3 years now and I have been extremely satisfied with the service. The fiber optic internet service is fast and reliable, and I have never experienced any issues with downtime. The monthly charges are reasonable at $91.55 and I appreciate the convenience of being able to pay with electronic check. Overall, I have had a great experience with this company and would highly recommend them to others.",1899,positive,general_satisfaction,1
26,7717-BICXI,Male,0,Yes,Yes,60.0,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,20.55,1205.05,0,"I have been a customer with this company for 5 years now and I have not experienced any issues with their service. I appreciate the affordable monthly charges and the convenience of being able to pay with a mailed check. While I do not currently have internet service with them, I am satisfied with the overall experience and have no plans to churn. Thank you for providing reliable service at a great price.",1028,positive,general_satisfaction,1
27,2323-ARSVR,Male,0,Yes,No,67.0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,111.05,7321.05,0,"""I have been a loyal customer with this company for over 5 years and have been very satisfied with the service. The fiber optic internet has been reliable and fast, and I have had no issues with billing or payments. The monthly charges are reasonable for the quality of service provided. Overall, I have had a positive experience and would recommend this company to others.""",9136,positive,general_satisfaction,1
28,5281-BUZGT,Male,1,No,No,36.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.85,3186.7,1,"I have been a customer with this company for 36 months on a month-to-month contract. I recently decided to churn because I found a better deal with another provider. The monthly charges were reasonable at $90.85 for fiber optic internet service. I appreciated the convenience of using electronic check as my payment method. Overall, my experience with this company was satisfactory, but I ultimately decided to switch due to a better offer elsewhere.",9952,mixed,competitor_offer,0
29,1930-WNXSB,Male,0,Yes,Yes,58.0,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.85,5305.05,0,"I have been a customer with this company for almost 5 years now and I have been extremely satisfied with the service. The fiber optic internet is fast and reliable, and I have never experienced any major outages. The monthly charges are reasonable at $92.85 and I appreciate the convenience of paying with electronic check. Overall, I have no complaints and I would highly recommend this company to others.",6135,positive,general_satisfaction,1
30,0612-RTZZA,Female,1,No,No,1.0,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,25.25,25.25,1,"I recently signed up for DSL internet service with this provider on a month-to-month contract. Unfortunately, after only 1 month, I decided to cancel due to slow speeds and unreliable connection. The monthly charges were reasonable at $25.25, but the service did not meet my expectations. I was also disappointed with the payment method of electronic check, as I prefer more secure options. Overall, I would not recommend this provider for DSL internet service.",6913,negative,internet_connection,0
31,4983-CCWMC,Male,0,No,No,3.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.6,207.4,0,"I have been a customer with this company for 3 months now and I am very satisfied with the service. The fiber optic internet is fast and reliable, and I have had no issues with connectivity. The monthly charges of $69.6 are reasonable for the quality of service I am receiving. I appreciate the option to pay with a mailed check as it is convenient for me. Overall, I have no complaints and do not plan on churning anytime soon. Highly recommend this company for their great internet service.",2261,positive,general_satisfaction,1
32,4817-QRJSX,Female,0,No,No,10.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),81.0,818.05,1,"I recently decided to cancel my service with this company after being a customer for 10 months. I had a month-to-month contract with them and was paying $81.0 a month for fiber optic internet service. The automatic credit card payments were convenient, but I ultimately decided to switch to a different provider for better pricing and customer service. Overall, my experience with this company was satisfactory, but I found a better deal elsewhere.",9392,mixed,competitor_offer,0
33,8775-CEBBJ,Female,0,No,No,9.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),44.2,403.35,1,"I recently decided to cancel my service after being a customer for 9 months. The monthly charges of $44.2 for DSL internet were reasonable, but I found that the speed and reliability of the service did not meet my needs. I also had issues with the automatic bank transfer payment method, as there were a few instances where the payment did not go through smoothly. Overall, I was not satisfied with the service and decided to switch to a different provider.",6234,negative,internet_connection,0
34,2154-KVJFF,Female,0,No,No,15.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.75,1111.85,1,"I recently decided to cancel my service after being a customer for 15 months. The month-to-month contract was convenient for me, but I found that the $79.75 monthly charges were becoming too expensive for the level of service I was receiving. I appreciated the fiber optic internet service, as it was fast and reliable. However, I ultimately decided to switch providers due to the high cost. I also found the electronic check payment method to be easy and convenient. Overall, I had a positive experience with the service, but the pricing ultimately led me to churn.",5698,mixed,high_price,0
35,8749-CLJXC,Male,0,No,No,1.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.05,20.05,0,"I have been a customer for just over a month now and so far I am satisfied with the service. The month-to-month contract is convenient for me as I like to have flexibility with my services. The monthly charges of $20.05 are reasonable for the service I am receiving. I do not have internet service with this provider, so I cannot comment on that aspect. I prefer to pay by mailing in a check and have had no issues with this payment method. Overall, I am happy with my experience so far and have no plans to churn.",9302,positive,general_satisfaction,1
36,5028-HTLJB,Male,1,No,No,1.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.05,20.05,1,"I recently signed up for this service and unfortunately had to churn after only one month. The lack of internet service was a major inconvenience for me, especially considering the $20.05 monthly charge. Additionally, having to pay by mailed check was a hassle and I would have preferred more convenient payment options. Overall, I was not satisfied with my experience and would not recommend this service to others.",8141,negative,lost_sales_opportunity,0
37,0661-KBKPA,Male,0,Yes,Yes,53.0,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,78.75,3942.45,0,"I have been a customer with this company for over four years now, and I have been very satisfied with the DSL internet service they provide. The monthly charges are reasonable at $78.75, and I appreciate being able to pay by mailing a check. I have had no issues with churn and plan to continue using their services for the foreseeable future. Overall, I am a happy customer.",1418,positive,general_satisfaction,1
38,9063-ZGTUY,Female,0,Yes,Yes,61.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,19.4,1182.55,1,"I have been a customer for over 5 years with this company and unfortunately I have decided to churn. I have been on a month-to-month contract with a very low monthly charge of $19.4. However, I do not receive internet service from this company. I have always paid my bills through mailed checks. Overall, I have been satisfied with the service provided but I have found a better deal elsewhere.",6574,mixed,competitor_offer,0
39,2419-FSORS,Male,0,Yes,No,72.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,108.4,7719.5,0,"I have been a customer with this company for six years now and have been extremely satisfied with the service. The fiber optic internet service has been reliable and fast, and the monthly charges of $108.40 are reasonable for the quality of service provided. I appreciate the convenience of being able to pay with electronic check and have had no issues with billing or payments. Overall, I have no complaints and would highly recommend this company to others.",3063,positive,general_satisfaction,1
40,4587-NUKOX,Female,0,No,No,3.0,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.1,246.5,1,"I recently switched to this fiber optic internet service provider three months ago on a month-to-month contract. The monthly charges were reasonable at $79.10. However, I have decided to churn and switch to a different provider due to ongoing connectivity issues and slow speeds. I also found the payment method of electronic check to be inconvenient. I hope the provider can improve their services in the future.",2693,mixed,internet_connection,0
41,6770-UAYGJ,Female,0,Yes,Yes,49.0,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Mailed check,25.25,1211.65,0,"I have been a customer with this company for almost four years now and I have been satisfied with the service overall. I appreciate the affordable monthly charges and the convenience of being able to pay by mailing a check. However, I do wish that internet service was included in my plan as it would make my experience even better. Overall, I am happy with my contract and plan to continue being a customer for the foreseeable future.",9239,mixed,sales_opportunity,0
42,3537-RYBHH,Female,1,Yes,No,47.0,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),67.45,3252.0,0,"I have been a customer with this internet service provider for almost four years now and I have been satisfied with the service. The monthly charges are reasonable at $67.45 and I appreciate the convenience of automatic credit card payments. The DSL internet service has been reliable and I have not experienced any issues with connectivity. Overall, I am happy with the service and have no plans to switch providers.",6578,positive,general_satisfaction,1
43,9720-JJJOR,Male,0,Yes,Yes,41.0,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),60.3,2511.3,0,"I have been a loyal customer of this DSL internet service provider for 41 months now and I have been very satisfied with the service. The monthly charges are reasonable at $60.3 and I appreciate the convenience of automatic bank transfers for payment. The one-year contract has also been convenient for me as it offers stability in pricing. Overall, I have had a positive experience with this provider and would recommend it to others.",7538,positive,general_satisfaction,1
44,1984-GPTEH,Female,0,No,No,29.0,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,25.15,702.0,0,"I have been a loyal customer for almost 2 and a half years now and I have been satisfied with the service provided by this company. The monthly charges are very reasonable at $25.15 and I appreciate the convenience of the electronic check payment method. Despite not having internet service with this company, I have had no issues with the service overall. I would recommend this company to others looking for affordable and reliable services.",1237,positive,general_satisfaction,1
45,8809-RIHDD,Male,0,Yes,Yes,72.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,103.4,7372.65,1,"I have been a customer with this company for 6 years, with a two-year contract for fiber optic internet service. I recently decided to switch providers due to the high monthly charges of $103.4 and found a better deal elsewhere. I have been using electronic check as my payment method and have had no issues with it. Overall, I have had a positive experience with the service itself but ultimately decided to churn due to the cost.",6498,mixed,high_price,0
46,0130-SXOUN,Male,0,No,No,66.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),89.4,5976.9,0,"I have been a customer with this company for 66 months now and have been on a month-to-month contract with them. I am really impressed with their fiber optic internet service, as it has been fast and reliable. The monthly charges of $89.4 are reasonable for the quality of service I am receiving. I appreciate the convenience of automatic credit card payments, which make it easy to manage my bill. Overall, I have had a positive experience with this company and have no plans to churn.",6083,positive,general_satisfaction,1
47,1320-REHCS,Male,1,No,No,52.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.75,5832.0,0,"I have been a customer with this company for over four years now and I have been extremely satisfied with their fiber optic internet service. The speeds are consistently fast and reliable, and I have never experienced any outages or interruptions. The monthly charges are reasonable for the quality of service provided. I appreciate the convenience of paying with electronic check and have had no issues with billing or payments. Overall, I have had a positive experience with this company and would highly recommend their services.",9398,positive,general_satisfaction,1
48,1150-WFARN,Female,0,Yes,Yes,67.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),108.75,7156.2,1,"I have been a customer with this company for 67 months and have been on a two-year contract with them. I have been using their fiber optic internet service which has been great in terms of speed and reliability. However, I recently decided to churn as I found a better deal with another provider. The monthly charges of $108.75 were a bit on the higher side for me, especially considering other options available in the market. The automatic credit card payment method was convenient and hassle-free. Overall, I had a good experience with the company but decided to switch due to cost considerations.",9000,mixed,competitor_offer,0
49,6996-KNSML,Female,0,No,No,1.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.9,74.9,1,"I recently switched to this internet provider because they offered fiber optic service at a competitive price. However, after just one month of service, I decided to cancel due to some unexpected financial issues. The monthly charges were reasonable at $74.90, and I appreciated the convenience of paying with an electronic check. Overall, the service was reliable and fast during the time that I had it. I would consider returning to this provider in the future if my circumstances change.",5422,mixed,personal_reasons,0
50,7576-OYWBN,Male,1,No,No,3.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.05,231.8,1,"I recently canceled my service with this provider after only 3 months of being a customer. While the fiber optic internet service was fast and reliable, I found the monthly charges of $76.05 to be too high for what I was receiving. Additionally, the fact that I had to use electronic check as my payment method was inconvenient for me. Overall, I was not completely satisfied with my experience and decided to switch to a different provider.",7150,mixed,high_price,0
51,5789-LDFXO,Male,0,No,No,24.0,Yes,Yes,No,No,No,No,No,No,No,One year,No,Electronic check,24.6,592.65,0,"I have been a customer with this company for 24 months now and I am happy to say that I have not experienced any issues with churning. The monthly charges of $24.6 for my one-year contract are very reasonable and the payment method of electronic check is convenient for me. However, I do wish that internet service was included in my plan. Overall, I am satisfied with the service provided and would recommend it to others.",217,mixed,sales_opportunity,0
52,1414-YADCW,Male,0,Yes,No,70.0,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),84.6,5706.2,0,"I have been a customer with this company for over five years now and I have been very satisfied with the service. The fiber optic internet service has been reliable and fast, and I have had no issues with downtime or slow speeds. The automatic bank transfer payment method makes it convenient for me to pay my monthly bill without having to worry about missing a payment. The monthly charges are reasonable for the quality of service provided. Overall, I am happy with my experience and have no plans to switch to another provider.",8452,positive,general_satisfaction,1
53,9743-DQKQW,Male,0,No,No,3.0,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,25.1,79.8,0,"I have been a customer with this internet provider for 3 months now and I am very satisfied with the service. The monthly charges are reasonable at $25.1 and I appreciate the convenience of being able to pay with an electronic check. The DSL internet service has been reliable and I have experienced no issues with connectivity. Overall, I am happy with my experience and have no plans to switch providers.",6972,positive,general_satisfaction,1
54,9537-JALFH,Male,0,Yes,Yes,69.0,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),19.9,1356.7,0,"I have been a customer with this company for almost 6 years now and have been satisfied with their service overall. The automatic bank transfer payment method is convenient and hassle-free. However, I do wish they offered internet service as part of my plan, as I currently have to pay for it separately. Other than that, I have no complaints and am happy to continue with my two-year contract.",4201,mixed,sales_opportunity,0
55,7446-YPODE,Male,1,No,No,11.0,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),60.25,662.95,0,"I have been a customer with this DSL internet service provider for 11 months now on a month-to-month contract. I have had no issues with churning and have been satisfied with the service overall. The monthly charge of $60.25 is reasonable for the internet speed and reliability I receive. I appreciate the convenience of automatic bank transfers for payment. Overall, I am happy with my experience with this provider.",1488,positive,general_satisfaction,1
56,4803-LBYPN,Male,0,Yes,Yes,34.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.8,635.9,0,"I have been a customer with this company for over 2 and a half years now and I have had a positive experience overall. The monthly charges are very reasonable at $20.8 and I appreciate the flexibility of the month-to-month contract. 

However, I do wish that they offered internet service as I am currently using a different provider for that. Also, I prefer to pay my bills by mailing a check, so I am glad that this company accommodates that payment method.

Overall, I am satisfied with the service and have no complaints.",7349,positive,sales_opportunity,1
57,2193-SFWQW,Male,0,Yes,Yes,72.0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),111.95,8033.1,0,"I have been a customer with this company for 6 years now, and I have been extremely satisfied with the service. The fiber optic internet has been reliable and fast, and I have never experienced any issues with connectivity. The automatic bank transfer payment method is convenient and hassle-free. The monthly charges of $111.95 are reasonable for the quality of service I receive. Overall, I have no complaints and would highly recommend this company to others.",403,positive,general_satisfaction,1
58,5090-EMGTC,Female,0,Yes,No,59.0,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,100.05,6034.85,0,"I have been a customer with this company for nearly 5 years and have been very satisfied with their fiber optic internet service. The monthly charges of $100.05 are reasonable for the quality of service I receive. I appreciate being able to pay by mailing a check, as it is convenient for me. Overall, I have had no issues with the company and have no plans to churn in the near future. Highly recommend their services.",9783,positive,general_satisfaction,1
59,5016-ETTFF,Male,0,No,No,10.0,No,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,29.5,255.25,1,"I decided to churn after 10 months of using this DSL internet service. The monthly charges of $29.5 were reasonable, but the slow internet speeds and unreliable connection were frustrating. Additionally, having to mail in a check for payment was inconvenient and outdated. I ultimately decided to switch to a different provider offering faster and more reliable service.",7469,mixed,internet_connection,0
